0,1,2,3,4,5,6,7,8,9,,,,,,,
"[25.945087543641673, 0.14488476552406343, 0.5, -6.1709909909105285, 288, 43.92037284519801, 0.0, 132.33275396903284, 0.0, 3858.0346091744973, 0.06574557, 0.085431926, 0.09949595, 0.0013227188, 0.0012669994]","[421.36171105596435, 7.806598287871073, 0.4545454545454546, 36.899102307913, 559, 136.20760982849336, 174.71899356126494, 212.505992363466, 0.0, 7174.688730221175, 0.13471647, 0.15142399, 0.24713911, 0.010231801, 0.0067836526]","[22.623032865742, 0.19775179515236954, 0.4, 4.952037502370807, 240, 65.63243339091545, 58.270470189761234, 148.5384940785009, 0.0, 4367.578329184011, 0.086193144, 0.10245093, 0.107365325, 0.02206673, 0.0007731214]","[194.897120042679, 2.0096573961492408, 0.4545454545454546, 27.815111455307115, 544, 57.81294379453084, 0.0, 168.66611791365605, 0.0, 4894.977495327744, 0.109497845, 0.114546075, 0.20017134, 0.022312788, 0.004029856]","[0.0, 0.0, 0.42857142857142855, nan, 335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05331636, 0.05876732, 0.0735492, 0.012719601, 0.00033369675]","[15.077194223755882, 0.09532015334565896, 0.4, -3.3307075566731683, 208, 60.32206671205069, 102.04250286354403, 121.34967043801211, 0.0, 2938.4808394343577, 0.060302567, 0.067741, 0.06934921, 0.028111886, 0.00015395123]","[177.64682398126726, 2.0347688205754175, 0.5, -16.987217921258868, 496, 78.08288064673228, 122.05467806366833, 140.20166900511882, 0.0, 4096.630399644433, 0.08521827, 0.09244713, 0.12523241, 0.010131447, 0.0011797113]","[156.19827422743742, 1.2974539478889384, 0.4615384615384615, -15.237844642572135, 656, 33.116123672331895, 0.0, 122.05264192746294, 0.0, 2504.02104672183, 0.049395926, 0.031204674, 0.10393766, 0.0018071102, 0.0012539229]","[385.0489031065068, 2.0592867824130456, 0.47058823529411764, -31.009284444769627, 832, 52.98849596786419, 77.33375603922921, 113.22324603078411, 0.0, 2144.3154756639165, 0.03209563, 0.034590326, 0.06157027, 0.0038538447, 0.0003869517]",,,,,,,,
"[24.808501299878163, 0.12579763921638853, 0.5, 5.908802851293096, 288, 41.99904327366435, 0.0, 127.08879665595002, 0.0, 3528.2334696572457, 0.057728805, 0.070694625, 0.087312676, 0.001470636, 0.00094751193]","[242.89124288329396, 3.9777461226972797, 0.5, -35.4743878719129, 480, 112.8299723242812, 155.56349186104043, 199.42369775418427, 0.0, 5985.316246986808, 0.12800312, 0.13598773, 0.22056046, 0.009652077, 0.004984779]","[80.96350426096436, 1.1209400060924188, 0.5, 8.100039223829043, 367, 75.71325447681377, 133.09934981412218, 159.19961611844158, 0.0, 5052.709582689049, 0.100099295, 0.11070438, 0.14753379, 0.013610094, 0.0018374091]","[15.688763709982581, 0.12402745958568942, 0.4, -3.028569854692222, 208, 62.75710635853238, 105.03257643014581, 120.65074776640884, 0.0, 3167.1854815826273, 0.07578379, 0.08209118, 0.08617247, 0.044103317, 0.00017194577]","[244.55690405920387, 2.34704629564238, 0.5, 32.38158963273844, 592, 58.799242315324015, 77.78693633189263, 142.65235101161107, 0.0, 3225.014567242017, 0.08637182, 0.096412115, 0.16164045, 0.015886672, 0.002318634]","[16.8942186597238, 0.08971994614174249, 0.4, -3.3606056728042546, 224, 67.99377720504827, 94.11545282508624, 119.95585059317834, 0.0, 2373.6883929746164, 0.05186237, 0.05728604, 0.060525768, 0.023890981, 0.00011993243]","[154.25944216488537, 1.848934200998281, 0.4545454545454546, 14.01339885712975, 528, 55.17343810411029, 0.0, 139.3941668115768, 0.0, 4104.15832905637, 0.08200761, 0.09198979, 0.13432918, 0.0029737926, 0.0015628244]","[0.0, 0.0, 0.5, nan, 688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.041725893, 0.02925159, 0.08508186, 0.0016240719, 0.0007410381]","[160.58790927888595, 0.9634917946414538, 0.47058823529411764, -27.433555291877045, 848, 26.537821944445284, 0.0, 106.86851352689665, 0.0, 1961.1774665070736, 0.03415196, 0.033952095, 0.07236873, 0.00350295, 0.0006272494]",,,,,,,,
"[48.34119476385252, 0.2524014653278176, 0.42857142857142855, 9.52216149608116, 336, 51.87051138211232, 0.0, 124.90548719779652, 0.0, 3590.6728465461897, 0.06709908, 0.07455879, 0.11434125, 0.00067299313, 0.0016354218]","[228.50231556789234, 4.372806588278894, 0.4444444444444444, 19.953721774217527, 416, 154.18656309916503, 156.46466200170096, 192.63059450929475, 0.0, 1957.7171673556625, 0.19976693, 0.208269, 0.25382295, 0.09184432, 0.0019496436]","[149.2233730151923, 2.4417787820817765, 0.5, 24.85750536111015, 479, 83.9814576124013, 109.36644661993022, 160.1218501126406, 0.0, 4390.585277855549, 0.10688778, 0.11587925, 0.18011567, 0.0024927412, 0.003314107]","[171.33154782332582, 1.5258920050017633, 0.5, -24.262175110052837, 496, 68.80770327515069, 98.87184542404506, 122.05264192746294, 0.0, 2586.3709966526694, 0.077653274, 0.08448058, 0.1240909, 0.011220758, 0.0012848098]","[155.47117254831528, 0.8299724539256838, 0.4545454545454546, 21.14806369601956, 528, 52.60619718108987, 0.0, 156.46466200170096, 0.0, 4519.19238433764, 0.053178832, 0.057734348, 0.105063945, 0.0039568585, 0.0014296862]","[0.0, 0.0, 0.5, nan, 608, 0.0, 0.0, 0.0, 0.0, 0.0, 0.040851746, 0.026397094, 0.083259724, 0.0063849804, 0.00077605253]","[146.53290954564412, 0.9962563595961458, 0.4545454545454546, -19.433568013643992, 512, 50.30427731805199, 0.0, 113.87914162255151, 0.0, 2795.2233291708535, 0.049789354, 0.052174706, 0.0899843, 0.0028404095, 0.00085861556]","[151.30996866807226, 0.6897043594563489, 0.4545454545454546, -22.35560775002304, 560, 46.046365297259925, 80.0622606681151, 92.4986056779086, 0.0, 1774.9477264774819, 0.039961826, 0.046430264, 0.0592259, 0.0080951145, 0.00027509735]","[63.724865883795665, 0.2006109782511244, 0.5, 18.87573371998976, 688, 22.608470239765538, 0.0, 78.68552628393921, 0.0, 1215.0239887809778, 0.019284476, 0.024536088, 0.032666698, 0.001065486, 0.00015598796]",,,,,,,,
"[32.40760411122977, 0.3217878484389116, 0.5, -6.0850136469463685, 272, 70.77681790996444, 124.90548719779652, 145.9866916572425, 0.0, 4204.209572083367, 0.10830737, 0.12988691, 0.15184234, 0.0033728967, 0.0025294882]","[301.2007624160883, 5.297648721862537, 0.5, -43.527814624852596, 464, 140.01499881921163, 192.63059450929475, 239.91170118635668, 0.0, 9181.808034798485, 0.14090729, 0.15800577, 0.24253482, 0.010384028, 0.0058871508]","[0.0, 0.0, 0.4444444444444444, nan, 432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09610165, 0.1072343, 0.15616801, 0.004483487, 0.0023040462]","[326.7724659531673, 5.149816535165146, 0.5, -26.545454068151052, 608, 84.57160746900793, 122.41024787602157, 152.89100418265707, 0.0, 3631.520214606057, 0.11030817, 0.11619976, 0.19616191, 0.015158697, 0.0036877033]","[244.23307679270377, 3.479448955909654, 0.5, 21.34410917918091, 591, 60.80108783646497, 86.30569053436082, 139.3941668115768, 0.0, 3312.0247237855892, 0.092518575, 0.089874916, 0.18744119, 0.008436258, 0.004123223]","[0.0, 0.0, 0.4444444444444444, nan, 416, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05854529, 0.06529233, 0.091045596, 0.012311682, 0.0007681998]","[762.8847497254131, 5.506742521915513, 0.47368421052631576, -29.567253797744556, 944, 78.2575276995913, 93.57338770459413, 169.64319079487348, 0.0, 3453.5952841738103, 0.097108915, 0.06108198, 0.25750443, 0.014428508, 0.006678422]","[2.8380732843073178, 0.013371975835813173, 0.3333333333333333, -0.5111793449036703, 112, 72.07883243225226, 86.80420620725057, 96.87324609557632, 0.0, 1314.0040822905287, 0.04686323, 0.047116388, 0.047116388, 0.044837993, 5.1269967e-07]","[203.86818690374182, 1.1361740242231564, 0.5, -38.74125027450529, 784, 44.9649373300986, 70.91536696417685, 92.4986056779086, 0.0, 1908.6059301397338, 0.03225518, 0.03345879, 0.062369373, 0.0018689303, 0.00047005012]",,,,,,,,
"[16.666404739744678, 0.14491002444763237, 0.5, 3.4283739124371486, 304, 28.084102309825823, 0.0, 68.10519982075922, 0.0, 1104.2644525302596, 0.09609691, 0.1138328, 0.14067006, 0.0019657433, 0.002080199]","[773.1071992620354, 9.797215894432, 0.4666666666666667, -62.69737970463489, 752, 116.76181194780519, 145.14829157268093, 199.42369775418427, 0.0, 5603.298307875721, 0.109680906, 0.1312553, 0.17797378, 0.0062489114, 0.0026088902]","[0.0, 0.0, 0.4, nan, 208, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08347487, 0.0905129, 0.09077772, 0.031948105, 0.00024310946]","[260.84685768065975, 2.50252549219868, 0.4545454545454546, 35.45208864459149, 512, 92.16230334250294, 134.6458897635121, 143.47872767421205, 0.0, 4256.451806763887, 0.09414518, 0.10606378, 0.1644394, 0.006759263, 0.0026991123]","[95.45505973633632, 0.6015983469460995, 0.5, -15.85405305629888, 480, 43.04138977205253, 0.0, 93.03444464945933, 0.0, 2059.600294995841, 0.056453265, 0.0621851, 0.08349254, 0.010258109, 0.0004658083]","[0.0, 0.0, 0.5, nan, 176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.049071353, 0.049291328, 0.054031745, 0.041575056, 1.7812306e-05]","[300.9290982117789, 2.9602115631186563, 0.4615384615384615, -27.165357935727904, 656, 59.276190454772824, 0.0, 159.19961611844158, 0.0, 4831.591759057167, 0.072047964, 0.06692077, 0.15628262, 0.007497578, 0.0030181776]","[141.0531960570722, 0.6098993589324886, 0.5, 19.609632047389844, 608, 32.69772706918754, 0.0, 109.99999999999999, 0.0, 2162.187403719259, 0.03431256, 0.023395253, 0.0654391, 0.0088496115, 0.000412714]","[0.0, 0.0, 0.47058823529411764, nan, 864, 0.0, 0.0, 0.0, 0.0, 0.0, 0.029771524, 0.016074182, 0.07527534, 0.0014181188, 0.0005898564]",,,,,,,,
"[307.19089104031553, 3.62060418042224, 0.4545454545454546, -43.61746422467231, 528, 107.29886535755954, 166.7288223161438, 182.87233715141332, 0.0, 7107.726817191488, 0.124852635, 0.14875299, 0.20025507, 0.005249283, 0.004610557]","[544.8204004649131, 3.3225206928554316, 0.4666666666666667, -18.762949646693883, 736, 108.00841411156578, 130.8127826502993, 166.7288223161438, 0.0, 3174.4416167043823, 0.09197227, 0.10236837, 0.127253, 0.009466869, 0.0010532697]","[0.0, 0.0, 0.5, nan, 896, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06251172, 0.053273305, 0.1477301, 0.0039712987, 0.0019496274]","[0.0, 0.0, 0.5, nan, 272, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07010401, 0.08114767, 0.086700834, 0.019534247, 0.0004347874]","[419.8432704001033, 2.694569985527379, 0.47058823529411764, 34.31598485437919, 864, 42.565379959300586, 0.0, 127.08879665595002, 0.0, 3332.0860181968524, 0.060569134, 0.042631462, 0.122831345, 0.018187812, 0.0013569316]","[27.019417733241347, 0.12455623243998042, 0.4, -3.2317762553954097, 240, 81.41867581844238, 91.96585291173604, 94.6606580968763, 0.0, 749.193178540422, 0.03890336, 0.040489715, 0.048252657, 0.02493633, 5.0517505e-05]","[1094.3730244204573, 5.880164148634929, 0.48, 53.29894898996342, 1264, 46.53229035083564, 37.78372530509745, 104.42763330455712, 0.0, 2204.3923929486127, 0.03717196, 0.032788984, 0.07558794, 0.0037061737, 0.00036164204]",,,,,,,,,,
"[613.1021221156101, 8.650845540174926, 0.4666666666666667, 47.441731465454424, 720, 97.75287879202254, 157.37105256787842, 177.66631669600923, 0.0, 6792.696707353929, 0.11492894, 0.12607828, 0.20479776, 0.0037591248, 0.00477395]","[245.1554366189192, 3.1684662690842056, 0.4545454545454546, -19.79588107823603, 560, 83.49912031574002, 104.42937541256603, 159.19961611844158, 0.0, 2842.302384412779, 0.0957402, 0.103042394, 0.14835313, 0.01248139, 0.0016649105]","[861.7126736297577, 13.977368823470947, 0.5, -52.50482026897852, 816, 110.53873562295402, 143.89430958116571, 166.7288223161438, 0.0, 4210.743461298744, 0.12386743, 0.13693263, 0.18912302, 0.019029655, 0.0023747345]","[0.0, 0.0, 0.42857142857142855, nan, 352, 0.0, 0.0, 0.0, 0.0, 0.0, 0.037414946, 0.047652587, 0.05558485, 0.007986657, 0.00038661205]","[157.5688234611717, 1.838040262090662, 0.5, -14.566935601585435, 480, 83.55079222120641, 105.03257643014581, 115.86971395503193, 0.0, 1892.609283356096, 0.07816771, 0.088486284, 0.12679851, 0.016103476, 0.0015771199]","[166.99788757135258, 1.339352032663797, 0.4615384615384615, 21.915094228770897, 640, 51.834442830599286, 89.60655676372319, 99.13755088719131, 0.0, 2309.801809586945, 0.06512778, 0.07376948, 0.100129426, 0.011529436, 0.00072972843]","[4.996838415469924, 0.029001835011155504, 0.3333333333333333, 0.6205679256448242, 144, 71.14113450780677, 85.32577124315873, 88.32151700497141, 0.0, 1020.0856307055656, 0.054819, 0.05793255, 0.058146473, 0.038788937, 3.706484e-05]","[857.3917752757707, 8.23611518127294, 0.4761904761904763, -49.342063323936216, 1024, 58.725085089353385, 87.81282249923149, 114.5388367788287, 0.0, 2256.800819718831, 0.053666037, 0.03316132, 0.13045855, 0.0032256094, 0.0017515826]",,,,,,,,,
"[266.0353755275311, 3.29504423706275, 0.4545454545454546, 33.94297272492263, 560, 84.01104848304352, 117.89704765692366, 146.8323839587038, 0.0, 3341.0870271014846, 0.12854053, 0.14589007, 0.21073386, 0.0052229743, 0.0043420745]","[335.7203080439567, 4.257751175851496, 0.4545454545454546, -25.96813980717529, 528, 131.8680209799458, 133.87038650376502, 184.9972113558172, 0.0, 3502.6986075859404, 0.123430334, 0.12876078, 0.1574879, 0.04820923, 0.00065270736]","[21.03884228336902, 0.22118768364298144, 0.4, -4.05839095842947, 208, 84.1740651211086, 144.30989148811935, 164.81377845643496, 0.0, 5703.303362817207, 0.10532272, 0.12146299, 0.12764913, 0.048141792, 0.00075024925]","[187.84514373537462, 2.3723297978712665, 0.4444444444444444, -16.505462301130265, 416, 128.87942160184716, 136.21039964151845, 141.01384901128017, 0.0, 1046.7682548684886, 0.115449555, 0.12048579, 0.13085932, 0.086462915, 0.00018839027]","[157.28595381693856, 1.451090926230133, 0.4444444444444444, 13.2174178502664, 432, 108.52300539648266, 115.86971395503193, 124.18608452867444, 0.0, 758.2217954314788, 0.08785884, 0.090371065, 0.10527005, 0.0563757, 0.00019022515]","[202.84675146470795, 1.8174379093478692, 0.4545454545454546, 28.572842096007975, 528, 70.98288593689752, 95.76056196257365, 151.1349012203898, 0.0, 3298.128147341523, 0.096252225, 0.106578365, 0.16563234, 0.0211578, 0.0026951001]","[16.783665394437516, 0.07166798534935488, 0.5, 4.007153609049842, 256, 36.68628108952515, 0.0, 103.22817963382575, 0.0, 2356.5303378389585, 0.045699604, 0.057779413, 0.061670695, 0.013582949, 0.00035854318]","[239.96461805291364, 1.9116323314152155, 0.5, -22.09575558835725, 608, 73.48235121493933, 98.56820494131432, 102.63362906904881, 0.0, 1821.592014475211, 0.064109586, 0.06987387, 0.09744845, 0.015643205, 0.00069303]","[0.0, 0.0, 0.47058823529411764, nan, 864, 0.0, 0.0, 0.0, 0.0, 0.0, 0.032863937, 0.013742141, 0.08535942, 0.0014768065, 0.0008109179]",,,,,,,,
"[343.929248279751, 3.3259932748246808, 0.4545454545454546, -46.956605961701236, 544, 106.61279825314264, 159.19961611844158, 177.66631669600923, 0.0, 6534.34603376594, 0.10045944, 0.11515764, 0.17311716, 0.003927073, 0.0033465226]","[232.98848445698468, 1.7226593694429595, 0.4545454545454546, -32.04560243424929, 560, 70.82574763404625, 115.55916345488816, 152.01041679645533, 0.0, 4257.994372225069, 0.08955966, 0.09802055, 0.15928209, 0.010950365, 0.0027123177]","[69.09508282209556, 0.9254144682901703, 0.42857142857142855, -7.220594201723678, 352, 80.92334378546535, 109.99999999999999, 118.57804013471404, 0.0, 2630.6459263956326, 0.101062484, 0.11336054, 0.14227794, 0.006669658, 0.0014712451]","[0.0, 0.0, 0.5, nan, 176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06216558, 0.068004265, 0.06817097, 0.03493115, 0.00010093825]","[586.8732999622338, 2.2382369288765807, 0.5, 19.783499113860984, 912, 64.67896163433028, 90.38744246261189, 112.57112811964524, 0.0, 2432.1719962412885, 0.058524992, 0.057799086, 0.10393653, 0.017979113, 0.0006902634]","[200.41678109816147, 0.7521430125341179, 0.4666666666666667, 29.251419333833276, 736, 29.867739315543233, 0.0, 89.86534992826049, 0.0, 1695.716257138512, 0.04911081, 0.049436167, 0.093140684, 0.014038043, 0.0007682117]","[20.210119577602292, 0.0868684117142023, 0.5, -3.648252634514648, 272, 47.396885484730085, 85.3129619008554, 88.32151700497141, 0.0, 1872.6668331182673, 0.031286154, 0.03708656, 0.04440999, 0.0022294032, 0.00019309326]","[0.0, 0.0, 0.5, nan, 192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.035763502, 0.03932699, 0.039417263, 0.016716287, 4.464231e-05]","[500.5655504956303, 3.156014744545815, 0.5, -42.62888980956341, 880, 47.92374088721161, 74.26924703925044, 95.20902171067573, 0.0, 1749.7715459373596, 0.042997457, 0.031044789, 0.09885525, 0.0029956435, 0.0010415757]",,,,,,,,
"[428.8274181583745, 6.083327373456, 0.4615384615384615, -51.53013463042227, 624, 95.64067177534115, 143.47872767421205, 156.46466200170096, 0.0, 5163.118239525445, 0.15402946, 0.17943534, 0.25665373, 0.005219184, 0.007936056]","[46.49155643860159, 0.7096063895591067, 0.5, -5.120041541581621, 256, 106.94094909347554, 108.73654223881857, 146.8323839587038, 0.0, 1416.589265493597, 0.1252311, 0.13709667, 0.1592983, 0.06952714, 0.0008606462]","[252.94885139384047, 3.952372264524951, 0.4545454545454546, 20.320454094584925, 560, 84.79538996686264, 103.24367886229956, 113.87914162255151, 0.0, 1654.5987855096175, 0.11599291, 0.122507475, 0.17335846, 0.031248268, 0.0017144253]","[19.086463333145158, 0.11174933181536353, 0.4, -2.3604099488421504, 207, 78.45214835651309, 88.32151700497141, 88.83315834800462, 0.0, 769.4833658239133, 0.056541406, 0.057844996, 0.06582396, 0.042455737, 5.16954e-05]","[434.29885573756616, 5.691021797196431, 0.4615384615384615, -23.31795377833187, 640, 103.8755390810896, 113.2402459717402, 190.41804342135148, 0.0, 2549.160542489014, 0.09787506, 0.09409325, 0.14759783, 0.045162406, 0.0009610684]","[923.3419801345486, 5.260050349197816, 0.5, -21.522460531510944, 1088, 71.50845056209451, 97.43442710125966, 125.62905732418486, 0.0, 2552.7148159880603, 0.07114984, 0.06241589, 0.1319226, 0.026225956, 0.00093021337]","[0.0, 0.0, 0.4, nan, 240, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03446858, 0.047509175, 0.049595084, 0.0051347315, 0.00032296818]","[217.3112817890686, 1.1194885133870618, 0.47368421052631576, 40.14462827473049, 928, 36.58124150801516, 0.0, 94.11545282508624, 0.0, 1783.646983969054, 0.034605507, 0.039387498, 0.06581233, 0.0043148575, 0.00034387747]",,,,,,,,,
